Dosya Yolu,Etiket
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/A_63.jpg,0
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/H_47.jpg,9
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/T_36.jpg,20
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/T_22.jpg,20
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/H_53.jpg,9
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/E_2.jpg,6
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/A_77.jpg,0
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/O_72.jpg,15
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/Z_27.jpg,24
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/F_56.jpg,7
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/F_42.jpg,7
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/Z_33.jpg,24
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/S_17.jpg,18
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/O_66.jpg,15
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/L_23.jpg,12
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/P_52.jpg,16
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/Y_76.jpg,23
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/E_13.jpg,6
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/Y_62.jpg,23
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/G_0.jpg,8
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/P_46.jpg,16
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/L_37.jpg,12
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/B_32.jpg,1
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/K_16.jpg,11
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/B_26.jpg,1
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/A_6.jpg,0
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/N_26.jpg,14
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/R_57.jpg,17
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/R_43.jpg,17
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/N_32.jpg,14
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/G_16.jpg,8
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/I_13.jpg,10
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/U_62.jpg,21
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/DOT_6.jpg,5
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/U_76.jpg,21
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/Bosluk_28.jpg,2
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/O_9.jpg,15
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/DOT_27.jpg,5
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/Bosluk_14.jpg,2
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/DOT_33.jpg,5
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/V_33.jpg,22
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/C_4.jpg,3
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/C_66.jpg,3
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/C_72.jpg,3
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/V_27.jpg,22
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/D_53.jpg,4
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/T_9.jpg,20
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/M_77.jpg,13
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/M_63.jpg,13
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/D_47.jpg,4
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/SPACE_44.jpg,19
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/SPACE_50.jpg,19
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/SPACE_78.jpg,19
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/Z_6.jpg,24
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/Z_7.jpg,24
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/SPACE_79.jpg,19
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/SPACE_51.jpg,19
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/SPACE_45.jpg,19
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/M_62.jpg,13
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/D_46.jpg,4
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/D_52.jpg,4
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/M_76.jpg,13
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/T_8.jpg,20
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/C_73.jpg,3
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/V_26.jpg,22
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/V_32.jpg,22
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/C_67.jpg,3
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/C_5.jpg,3
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/DOT_32.jpg,5
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/DOT_26.jpg,5
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/Bosluk_15.jpg,2
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/O_8.jpg,15
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/Bosluk_29.jpg,2
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/DOT_7.jpg,5
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/U_77.jpg,21
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/U_63.jpg,21
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/I_12.jpg,10
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/N_33.jpg,14
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/R_42.jpg,17
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/G_17.jpg,8
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/A_7.jpg,0
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/R_56.jpg,17
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/N_27.jpg,14
/Users/abdulbarisoylemez/Documents/Visual Code/Bitirme Projesi/kod/data/isaretData/B_27.jpg,1
